"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mlu_38844.mRNA1",650.28267097347,1.10229868308061,0.188051166146152,5.86135143529212,4.59115132353174e-09,4.68743046746345e-06
"Mlu_21585.mRNA1",325.37199660822,1.89920852717999,0.326448399808876,5.7907197811672,7.0085421854582e-09,6.89381806658319e-06
"Mlu_23670.mRNA1",38.212713249627,-3.0532888463824,0.507010122077973,-5.78277104321666,7.34800416165639e-09,6.89381806658319e-06
"Mlu_33051.mRNA1",389.430733000146,1.96538852812927,0.339930451868663,5.78615013257818,7.20178537562766e-09,6.89381806658319e-06
"Mlu_33548.mRNA1",40.0854867854359,2.87849279653234,0.491532708693501,5.77402382730499,7.74004842550946e-09,7.07053423670289e-06
"Mlu_05938.mRNA1",650.041200946024,-1.77173911115089,0.307209247276364,-5.74124938292356,9.39805678924477e-09,8.36499346987317e-06
"Mlu_13736.mRNA1",144.310418774503,-2.25825247853263,0.390531506587012,-5.71239620875136,1.11396358481835e-08,9.44132303259193e-06
"Mlu_27587.mRNA1",2727.27791559053,1.33181534294177,0.233209344339033,5.71221853121047,1.11512760157944e-08,9.44132303259193e-06
"Mlu_27563.mRNA1",108.681696309396,1.79511318981987,0.312209691792394,5.70451840607406,1.16672486904434e-08,9.64298104265144e-06
"Mlu_36275.mRNA1",503.743646611106,-1.23892097318859,0.217192013534795,-5.69526549555951,1.23180086441128e-08,9.94407055960671e-06
"Mlu_01126.mRNA1",122.285873916688,3.22370751569963,0.571734544967857,5.6848995250902,1.30889588944931e-08,1.03262961387395e-05
"Mlu_22325.mRNA1",426.769312691581,-0.941071723859123,0.167437673317371,-5.62007496290243,1.90874620943934e-08,1.4724068259615e-05
"Mlu_23260.mRNA1",407.903264478607,-1.13099381163575,0.202550963260682,-5.58469884159947,2.34105531062992e-08,1.76663158691079e-05
"Mlu_15194.mRNA1",573.421178134207,-0.904605704613229,0.163775462488172,-5.52351991794248,3.32274603873744e-08,2.42264621960076e-05
"Mlu_29077.mRNA1",130.686098719692,-2.04969184004097,0.368757585116929,-5.52208749513869,3.34995588225841e-08,2.42264621960076e-05
"Mlu_23034.mRNA1",71.809288071981,2.28931623938828,0.409898534236084,5.50420397646498,3.70839995937147e-08,2.62713648550331e-05
"Mlu_23921.mRNA1",25.4524562598759,-3.01670162534909,0.518597156687406,-5.49800316845498,3.84116030914451e-08,2.66676395622667e-05
"Mlu_20688.mRNA1",1888.18200124886,-1.22204292742188,0.222357019167692,-5.49264929472856,3.9594858241145e-08,2.69501238063699e-05
"Mlu_43260.mRNA1",1325.02042440337,-1.24466356591243,0.227417774617472,-5.47256752653385,4.43561656143592e-08,2.96102995571394e-05
"Mlu_16814.mRNA1",22.101531376054,2.96300802817715,0.518389806371823,5.42513087903987,5.79120901079204e-08,3.7930233658797e-05
"Mlu_20311.mRNA1",10654.6402101022,-1.49877381200257,0.276780583225866,-5.41281210494406,6.2042583989143e-08,3.98830410743541e-05
"Mlu_01012.mRNA1",283.557987472303,1.9178414777584,0.35338411625265,5.39549010099442,6.83367603746911e-08,4.31304356888482e-05
"Mlu_10176.mRNA1",209.844036209635,1.39595811927523,0.262264801168787,5.31561002673846,1.06300593496361e-07,6.5893080393557e-05
"Mlu_35564.mRNA1",120.059533123773,1.37080064644931,0.257752459259815,5.30711561107731,1.1137354338641e-07,6.78264879223235e-05
"Mlu_25205.mRNA1",64.5468777523974,3.16507226390956,0.59746634223095,5.27573819634796,1.32222741775582e-07,7.77940344958605e-05
"Mlu_37624.mRNA1",415.033821097539,3.10068021608854,0.592516050029518,5.2765149670539,1.31663764269917e-07,7.77940344958605e-05
"Mlu_09934.mRNA1",96.9095609211857,2.37259855868497,0.442536832100437,5.27065104722582,1.35940701031624e-07,7.86484925818458e-05
"Mlu_44051.mRNA1",1412.10145194066,1.32721770623788,0.253020007209113,5.24279588288375,1.58161475784879e-07,9.00042509659097e-05
"Mlu_34107.mRNA1",2304.26983799813,1.36593685147735,0.260931625223256,5.23898138160051,1.61465325452346e-07,9.04023522972146e-05
"Mlu_26516.mRNA1",835.139069188615,-1.29610313367091,0.24781501621252,-5.23158058205419,1.6806674054424e-07,9.2604774039876e-05
"Mlu_17612.mRNA1",1745.00518401012,-1.23575715385303,0.236586374203733,-5.22459176636141,1.74539751593609e-07,9.46687249542024e-05
"Mlu_25198.mRNA1",1502.25562551422,2.87615675146017,0.604951962077494,5.21623261393004,1.82598844105792e-07,9.75162103914517e-05
"Mlu_16678.mRNA1",29.2452974360126,2.60314846417115,0.489467416701253,5.21317244587242,1.85638176922769e-07,9.7527833687274e-05
